,상호명,상권업종대분류명,상권업종중분류명,상권업종소분류명,시도명,시군구명,행정동명,법정동명,도로명주소,경도,위도,브랜드명
2409,파리바게뜨,음식,기타 간이,빵/도넛,서울특별시,중랑구,상봉2동,상봉동,서울특별시 중랑구 면목로 480,127.086178346161,37.5948301738765,파리바게트
2782,파리바게뜨오금현대,음식,기타 간이,빵/도넛,서울특별시,송파구,오금동,오금동,서울특별시 송파구 마천로 76,127.12865485053,37.5073166699966,파리바게트
4459,파리바게뜨,음식,기타 간이,빵/도넛,서울특별시,광진구,광장동,광장동,서울특별시 광진구 아차산로70길 26,127.1011954862,37.5419457525954,파리바게트
6288,파리바게트그라시움,음식,기타 간이,빵/도넛,서울특별시,강동구,고덕2동,고덕동,서울특별시 강동구 고덕로 333,127.159471263976,37.5561971380176,파리바게트
7145,파리바게트양재역,음식,기타 간이,빵/도넛,서울특별시,서초구,양재1동,양재동,서울특별시 서초구 강남대로 213,127.034933598472,37.4827552071824,파리바게트
8578,파리바게뜨쌍문초교,음식,기타 간이,빵/도넛,서울특별시,도봉구,쌍문1동,쌍문동,서울특별시 도봉구 노해로41길 26,127.026044388158,37.6498260888722,파리바게트
8966,파리바게뜨,음식,기타 간이,빵/도넛,서울특별시,마포구,서교동,서교동,서울특별시 마포구 양화로 71,126.915887011758,37.5512834281848,파리바게트
9339,파리바게뜨등촌그랜드점,음식,기타 간이,빵/도넛,서울특별시,강서구,등촌3동,등촌동,서울특별시 강서구 공항대로41길 65,126.84610585722,37.5607857289971,파리바게트
13141,파리바게트일원주공점,음식,기타 간이,빵/도넛,서울특별시,강남구,일원1동,일원동,서울특별시 강남구 양재대로55길 13,127.087572122127,37.4916884712961,파리바게트
13466,파리바게트,음식,기타 간이,빵/도넛,서울특별시,동대문구,제기동,제기동,서울특별시 동대문구 고산자로 564,127.036714043036,37.5896613113043,파리바게트
13689,파리바게뜨장위뉴타운점,음식,기타 간이,빵/도넛,서울특별시,성북구,장위3동,장위동,서울특별시 성북구 한천로 713,127.051701757032,37.6212109798833,파리바게트
14258,파리바게뜨장안2동점,음식,기타 간이,빵/도넛,서울특별시,동대문구,장안2동,장안동,서울특별시 동대문구 장한로32길 17,127.073045603808,37.5754093534725,파리바게트
15248,파리바게뜨마곡힐스테이트,음식,기타 간이,빵/도넛,서울특별시,강서구,공항동,마곡동,서울특별시 강서구 마곡중앙1로 71,126.817859612779,37.5568931416776,파리바게트
15423,파리바게뜨하계,음식,기타 간이,빵/도넛,서울특별시,노원구,하계1동,하계동,서울특별시 노원구 노원로 254,127.073521699785,37.6401889910485,파리바게트
15624,파리바게트홍은벽산,음식,기타 간이,빵/도넛,서울특별시,서대문구,홍은1동,홍은동,서울특별시 서대문구 홍은중앙로 29,126.946066345821,37.5941217165055,파리바게트
15792,파리바게뜨당곡,음식,기타 간이,빵/도넛,서울특별시,관악구,보라매동,봉천동,서울특별시 관악구 보라매로 14,126.927596839164,37.4906689822146,파리바게트
15896,파리바게뜨도원,음식,기타 간이,빵/도넛,서울특별시,용산구,용문동,도원동,서울특별시 용산구 새창로 70,126.9549275206,37.5385973487808,파리바게트
16008,파리바게트구일역점,음식,기타 간이,빵/도넛,서울특별시,구로구,구로1동,구로동,서울특별시 구로구 구일로10길 27,126.872546321115,37.4961303474888,파리바게트
16869,파리바게뜨목2점,음식,기타 간이,빵/도넛,서울특별시,양천구,목2동,목동,서울특별시 양천구 목동중앙북로 73,126.87148888236,37.5468307782502,파리바게트
17133,파리바게트불광로데오,음식,기타 간이,빵/도넛,서울특별시,은평구,대조동,대조동,서울특별시 은평구 통일로 747,126.928215003379,37.6118464496847,파리바게트
17814,파리바게뜨방배역센트럴,음식,기타 간이,빵/도넛,서울특별시,서초구,방배1동,방배동,서울특별시 서초구 방배로 83,126.996988175801,37.4818534778462,파리바게트
18465,파리바게뜨,음식,기타 간이,빵/도넛,서울특별시,중구,을지로동,저동2가,서울특별시 중구 마른내로 17-1,126.989773699122,37.5649678171831,파리바게트
